1,1,2620.63
1,2,2736.81
1,3,2795.03
1,4,2866.7
1,5,2893.52
1,6,2696.65
1,7,2606.67
1,8,2933.49
1,9,2910.76
1,10,2931.55
1,11,2855.32
1,12,2700.12
1,13,2844.41
1,14,2665.25
1,15,2629.1
1,16,2833.26
1,17,2782.33
1,18,2861.71
1,19,2832.36
1,20,2873.23
1,21,2792.94
1,22,2803.05
1,23,2572.58
1,24,2786.58
1,25,2866.67
1,26,2889.3
1,27,2862.07
1,28,2860.71
1,29,2888.81
1,30,2986.07
1,31,3000.36
1,32,2830.16
1,33,2928.36
1,34,2835.59
1,35,2759.79
1,36,2599.9
1,37,2744.05
1,38,2674.34
1,39,2668.87
1,40,2806.48
1,41,2671.12
1,42,2742.66
1,43,2840.12
1,44,2766.2
1,45,2706.21
1,46,2684.04
1,47,2677.3
1,48,2823.5
1,49,2609.11
1,50,2698.8
2,1,2624.3
2,2,2659.8
2,3,2783.38
2,4,2682.26
2,5,2684.67
2,6,2685.5
2,7,2776.37
2,8,2771.38
2,9,2725.49
2,10,2810.76
2,11,2886.1
2,12,2799.57
2,13,2705.96
2,14,2766.73
2,15,2715.67
2,16,2785.87
2,17,2686.23
2,18,2689.05
2,19,2682.87
2,20,2654.49
2,21,2775.39
2,22,2677.48
2,23,2568.58
2,24,2583.83
2,25,2692.62
2,26,2570.09
2,27,2621.26
2,28,2750.85
2,29,2779.71
2,30,2833.89
2,31,2765.03
2,32,2861.54
2,33,2787.59
2,34,2818.25
2,35,2881.16
2,36,2762.91
2,37,2860.54
2,38,2774.07
2,39,2776.79
2,40,2761.66
2,41,2865.17
2,42,2665.03
2,43,2801.95
2,44,2889.22
2,45,2633.79
2,46,2712.65
2,47,2568.68
2,48,2847.21
2,49,2751.03
2,50,2663.55
3,1,2760.24
3,2,2694.9
3,3,2795.58
3,4,2827.55
3,5,2931.18
3,6,2783.52
3,7,2911.37
3,8,2807.11
3,9,2890.3
3,10,2757.93
3,11,2631.19
3,12,2753.23
3,13,2746.37
3,14,2796.54
3,15,2775.73
3,16,2902.43
3,17,2826.87
3,18,2908.1
3,19,2753.12
3,20,2686.48
3,21,2785.78
3,22,2728.07
3,23,2615.1
3,24,2760.19
3,25,2751.35
3,26,2767.04
3,27,2853.99
3,28,2837.85
3,29,2744.46
3,30,2598.15
3,31,2724.27
3,32,2710.55
3,33,2939.41
3,34,2718.8
3,35,2914.25
3,36,2622.3
3,37,2745.56
3,38,2739.8
3,39,2556.92
3,40,2728.02
3,41,2719.84
3,42,2711.28
3,43,2703.16
3,44,2563.67
3,45,2637.65
3,46,2765.71
3,47,2692.48
3,48,2814.23
3,49,2751.24
3,50,2643.69
4,1,2775.61
4,2,2586.01
4,3,2625.54
4,4,2659.33
4,5,2940.22
4,6,2698.91
4,7,2984.94
4,8,2966.13
4,9,2702.6
4,10,2727.31
4,11,2818.3
4,12,2763.68
4,13,2745.45
4,14,2621.91
4,15,2518.85
4,16,2840.21
4,17,2751.5
4,18,2837.24
4,19,2825.8
4,20,2636.38
4,21,2779.26
4,22,2511.24
4,23,2601.17
4,24,2790.3
4,25,2801.49
4,26,2891.28
4,27,2707.25
4,28,2813.02
4,29,2750.4
4,30,2639.66
4,31,2893.29
4,32,2834.92
4,33,2983.42
4,34,2881.75
4,35,2852.84
4,36,2830.11
4,37,2777.82
4,38,2739.3
4,39,2678.04
4,40,2771.4
4,41,2696.74
4,42,2682.67
4,43,2716.81
4,44,2693.21
4,45,2780.65
4,46,2870.88
4,47,2702.12
4,48,2881.25
4,49,2678.72
4,50,2732.42
5,1,2727.71
5,2,2782.14
5,3,2826.75
5,4,2945.29
5,5,2937.36
5,6,2846.62
5,7,2671.63
5,8,2782.01
5,9,2923.58
5,10,2791.18
